                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0932,                 3.5525,                 4.2355,                 0.0264,                0.38307,                0.08277,                0.02131,                  3.072,                 3.4129,                 4.1534,                0.00026,                0.00026,                0.00026
                      2,                 3.0141,                 3.0974,                  4.058,                0.02614,                0.39532,                0.03215,                0.01214,                 3.0314,                 3.3937,                 4.1313,             0.00051327,             0.00051327,             0.00051327
                      3,                 2.8421,                 2.8056,                 3.8838,                0.02725,                0.42316,                0.03854,                0.01363,                 2.9967,                 3.3976,                    4.1,             0.00073882,             0.00073882,             0.00073882
                      4,                 2.5255,                 2.4173,                 3.5556,                0.02999,                0.44878,                 0.0464,                0.01505,                 2.9264,                 3.3885,                 4.0589,             0.00093665,             0.00093665,             0.00093665
                      5,                 2.3893,                 2.1868,                 3.2787,                0.03564,                0.65479,                 0.0381,                 0.0122,                 2.9343,                 3.1638,                 3.9897,              0.0011068,              0.0011068,              0.0011068
                      6,                 2.2408,                 2.0495,                 3.0997,                0.03733,                0.68597,                0.03822,                0.01469,                 2.5506,                 3.0301,                 3.6864,              0.0012491,              0.0012491,              0.0012491
                      7,                 2.0506,                 1.9553,                 2.8389,                0.03297,                0.60579,                0.05854,                0.01707,                 2.1237,                 3.0787,                 3.3251,              0.0013638,              0.0013638,              0.0013638
                      8,                 2.0287,                 1.8797,                 2.7206,                0.43999,                0.27506,                0.26217,                0.11749,                 1.7428,                 2.4443,                  2.801,               0.001307,               0.001307,               0.001307
                      9,                 1.9584,                  1.797,                 2.6404,                0.25117,                0.23274,                0.13283,                0.04101,                 2.1487,                 3.1409,                 2.8891,               0.001307,               0.001307,               0.001307
                     10,                 1.9536,                 1.8119,                 2.6385,                0.04685,                 0.8608,                0.37175,                0.15515,                 1.7618,                 2.5412,                 2.7397,               0.001208,               0.001208,               0.001208
                     11,                 1.4621,                 1.8221,                 2.2561,                0.42499,                0.22049,                0.26073,                0.12363,                 2.0235,                 2.6975,                 2.9955,               0.001109,               0.001109,               0.001109
                     12,                 1.4478,                 1.5572,                 2.1963,                0.50391,                0.24499,                0.29526,                 0.1456,                 1.9075,                 2.0104,                 2.6822,                0.00101,                0.00101,                0.00101
                     13,                 1.3827,                 1.4187,                 2.1459,                0.54879,                0.24165,                0.32434,                0.17155,                 1.7391,                  1.911,                 2.4902,               0.000911,               0.000911,               0.000911
                     14,                  1.326,                 1.3361,                 2.0416,                0.67875,                0.41175,                0.52898,                0.29991,                 1.6753,                 1.4529,                  2.311,               0.000812,               0.000812,               0.000812
                     15,                 1.2466,                 1.2749,                 1.9877,                0.94094,                0.37257,                0.60206,                0.34228,                 1.5083,                 1.4546,                 2.2027,               0.000713,               0.000713,               0.000713
                     16,                 1.2203,                 1.2301,                 1.9502,                0.78746,                0.39532,                0.59001,                0.33935,                 1.4002,                 1.1317,                   2.05,               0.000614,               0.000614,               0.000614
                     17,                 1.1666,                 1.1898,                 1.8985,                0.90988,                0.37101,                0.60776,                0.36432,                 1.3394,                 1.2904,                  2.011,               0.000515,               0.000515,               0.000515
                     18,                 1.1227,                 1.1318,                 1.8586,                0.81261,                0.41425,                0.56381,                0.33714,                 1.3358,                 1.0612,                 1.9472,               0.000416,               0.000416,               0.000416
                     19,                  1.096,                 1.1176,                 1.8212,                0.77109,                0.41263,                0.55038,                0.33526,                 1.2486,                 1.0258,                  1.891,               0.000317,               0.000317,               0.000317
                     20,                 1.0535,                 1.0736,                 1.7726,                0.93324,                0.39532,                0.59127,                0.34909,                 1.3388,                0.97717,                 1.9872,               0.000218,               0.000218,               0.000218
